,IVs,IV_count,rsquared,adj_rsquared
15986,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.8273987014327205,0.8258005412608013
16233,"['1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.8273812768123125,0.8257829553013154
16229,"['1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.8273748795837054,0.8257764988391101
15981,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.8273550783287059,0.8257565142391569
15989,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.8273541302226474,0.8257555573543385
16232,"['1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.8273376394871945,0.8257389139268907
16293,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '13_income']",12,0.8274647985070211,0.8257205504717088
16288,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '13_income']",12,0.8274244189968661,0.8256797627440965
12517,"['2_num_chronic', '3_married', '4_urban', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",8,0.8268190790262819,0.8256558150734777
16307,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",12,0.8273995562419281,0.8256546486386451
16311,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.8273991303397833,0.8256542184308342
16363,"['1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.8273822521051069,0.8256371695653102
16310,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.827355573860111,0.8256102216160683
15438,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '13_income']",10,0.827056740991284,0.8256022140021443
16369,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '13_income']",13,0.8274668094120845,0.8255756361594345
13804,"['0_female', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",9,0.826855287111248,0.8255457892826776
14765,"['2_num_chronic', '3_married', '4_urban', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",9,0.8268510592985799,0.8255415294949557
14768,"['2_num_chronic', '3_married', '4_urban', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",9,0.8268260321167964,0.8255163130319655
14760,"['2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",9,0.8268209203650672,0.825511162619929
16376,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",13,0.8273999426479117,0.8255080364543391
16149,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '13_income']",11,0.8270884100050301,0.8254873767643359
16144,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '13_income']",11,0.8270594377149876,0.8254581362123485
15480,"['0_female', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",10,0.8268865575192748,0.8254305992141383
15881,"['2_num_chronic', '3_married', '4_urban', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",10,0.8268574699863914,0.8254012670426268
15475,"['0_female', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",10,0.8268565264652008,0.8254003155860183
15483,"['0_female', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",10,0.8268552878161473,0.8253990665193949
15877,"['2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",10,0.8268522653102193,0.8253960185928957
15880,"['2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",10,0.8268275296205565,0.8253710748654729
16344,"['0_female', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '13_income']",12,0.8270903429508814,0.8253423093497108
14264,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",9,0.8266304101594757,0.8253192115808499
16163,"['0_female', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.8268872959047417,0.8252844004964524
16167,"['0_female', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.8268865612067934,0.8252836589957452
14979,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",10,0.8267140996282722,0.8252566908782998
16273,"['2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.826858414694009,0.8252552518671017
16166,"['0_female', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.8268565266864174,0.8252533463779583
15682,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",10,0.8266727489579423,0.8252149924310956
15679,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",10,0.8266408751876488,0.8251828505887224
15674,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",10,0.8266367093627542,0.8251786497274536
15012,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",10,0.8266072672408089,0.825148959984634
16351,"['0_female', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '7_num_sunny', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",12,0.8268873044013716,0.825137218177965
15965,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '8_avg_temp', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.8267241240705903,0.8251197178119847
15968,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.8267220121272646,0.8251175863136282
15960,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '7_num_sunny', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",11,0.8267186411225451,0.825114184095902
14297,"['1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",9,0.826403614816986,0.8250907009794675
16226,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.8266823750357386,0.8250775822119955
16225,"['1_age', '2_num_chronic', '3_married', '4_urban', '5_hours_tv', '7_num_sunny', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft', '13_income']",11,0.8266775361101574,0.8250726984815477
12482,"['2_num_chronic', '3_married', '4_urban', '5_hours_tv', '9_close_friends', '10_worship_days', '12_employed_ft', '13_income']",8,0.8262368195442699,0.8250696445286142
15984,"['0_female', '1_age', '2_num_chronic', '3_married', '4_urban', '6_hours_sm', '8_avg_temp', '9_close_friends', '10_worship_days', '11_years_edu', '12_employed_ft']",11,0.8266533921620548,0.82504833097837
